name,shirt,team,passes,passes_completed,passing_accuracy_rate,crosses,crossing_accuracy_rate,take_ons_completed,linebreaks_attempted_defensive_line,linebreak_attempted_defensive_line_rate,attempted_switches_of_play,switches_of_play_rate,position
Giuliano Simeone,1,ARG,82.0,70.0,85.0,6.0,0.0,1.0,3.0,100.0,0.0,0.0,FW
Rayan,1,BRA,99.0,93.0,94.0,10.0,20.0,5.0,5.0,100.0,1.0,100.0,FW
Alexander Sorloth,1,NOR,110.0,88.0,80.0,5.0,20.0,2.0,5.0,100.0,0.0,0.0,FW
Andres Andrade,35,PAN,178.0,147.0,83.0,8.0,0.0,0.0,7.0,29.0,5.0,80.0,DF
Casemiro,53,BRA,224.0,200.0,89.0,4.0,25.0,1.0,8.0,50.0,4.0,100.0,MF
Leo Ostigard,53,NOR,99.0,84.0,85.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,DF
Nico Schlotterbeck,53,GER,123.0,110.0,89.0,0.0,0.0,1.0,3.0,67.0,4.0,75.0,DF
Nathan Ngoy,53,BEL,219.0,205.0,94.0,0.0,0.0,0.0,4.0,25.0,4.0,100.0,DF
Montassar Talbi,53,TUN,113.0,107.0,95.0,0.0,0.0,0.0,0.0,0.0,4.0,75.0,DF
Teboho Mokoena,53,RSA,196.0,176.0,90.0,3.0,0.0,1.0,6.0,50.0,4.0,100.0,MF
Jonas Adjetey,53,GHA,120.0,105.0,88.0,0.0,0.0,0.0,0.0,0.0,4.0,75.0,DF
Alessandro Circati,53,AUS,221.0,177.0,80.0,1.0,0.0,1.0,10.0,60.0,4.0,75.0,DF
Tomas Holes,82,CZE,66.0,55.0,83.0,0.0,0.0,1.0,1.0,0.0,3.0,100.0,DF
Harry Souttar,82,AUS,199.0,171.0,86.0,0.0,0.0,1.0,8.0,38.0,3.0,33.0,DF
Akmal Mozgovoy,82,UZB,79.0,65.0,82.0,0.0,0.0,2.0,8.0,50.0,3.0,67.0,MF
Alexandr Sojka,82,CZE,65.0,52.0,80.0,5.0,40.0,3.0,1.0,0.0,3.0,33.0,MF
Otabek Shukurov,82,UZB,117.0,103.0,88.0,1.0,0.0,2.0,3.0,33.0,3.0,100.0,MF
Josip Stanisic,82,CRO,162.0,140.0,86.0,5.0,20.0,2.0,9.0,67.0,3.0,100.0,DF
Grant Hanley,82,SCO,101.0,94.0,93.0,0.0,0.0,0.0,5.0,40.0,3.0,100.0,DF
Sebastian Caceres,1,URU,172.0,154.0,90.0,1.0,0.0,0.0,4.0,50.0,3.0,100.0,DF
Ugurcan Cakir,1,TUR,98.0,77.0,79.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,GK
Jaminton Campaz,1,COL,18.0,12.0,67.0,3.0,0.0,5.0,2.0,50.0,2.0,100.0,FW
Lukas Cerv,1,CZE,42.0,36.0,86.0,1.0,0.0,1.0,2.0,0.0,1.0,100.0,MF
Stepan Chaloupek,1,CZE,22.0,15.0,68.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,DF
Andres Cubas,1,PAR,117.0,97.0,83.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,MF
Kevin Danso,1,AUT,164.0,147.0,90.0,1.0,0.0,2.0,1.0,0.0,1.0,100.0,DF
Promise David,1,CAN,16.0,8.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,FW
Mory Diaw,1,SEN,95.0,64.0,67.0,0.0,0.0,0.0,2.0,0.0,1.0,100.0,GK
Nicolas Raskin,107,BEL,230.0,197.0,86.0,8.0,38.0,0.0,8.0,0.0,1.0,100.0,MF
Mike Maignan,112,FRA,225.0,179.0,80.0,0.0,0.0,0.0,3.0,33.0,1.0,100.0,GK
David Alaba,114,AUT,222.0,198.0,89.0,1.0,0.0,0.0,5.0,80.0,1.0,0.0,DF
Nicolas Tagliafico,121,ARG,217.0,190.0,88.0,4.0,25.0,2.0,8.0,50.0,2.0,100.0,DF
Daniel Munoz,124,COL,213.0,194.0,91.0,9.0,22.0,0.0,5.0,20.0,0.0,0.0,DF
Mbekezeli Mbokazi,124,RSA,213.0,185.0,87.0,2.0,0.0,2.0,7.0,57.0,3.0,67.0,DF
Yassine Bounou,126,MAR,211.0,142.0,67.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,GK
Gustaf Lagerbielke,130,SWE,206.0,173.0,84.0,1.0,0.0,1.0,7.0,57.0,1.0,100.0,DF
Orjan Nyland,131,NOR,204.0,138.0,68.0,0.0,0.0,0.0,6.0,0.0,2.0,50.0,GK
Lewis Ferguson,135,SCO,201.0,185.0,92.0,9.0,11.0,0.0,3.0,33.0,1.0,100.0,MF
Marin Pongracic,138,CRO,200.0,182.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,DF
Victor Lindelof,138,SWE,200.0,190.0,95.0,0.0,0.0,0.0,3.0,67.0,1.0,100.0,DF
Thibaut Courtois,147,BEL,198.0,144.0,73.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,GK
Ibrahim Sangare,141,CIV,190.0,172.0,91.0,1.0,0.0,0.0,4.0,50.0,1.0,100.0,MF
Luc De Fougerolles,146,CAN,191.0,170.0,89.0,1.0,0.0,0.0,6.0,67.0,1.0,0.0,DF
Azarias Londono,89,PAN,21.0,20.0,95.0,1.0,0.0,2.0,2.0,50.0,0.0,0.0,FW
Kojo Peprah Oppong,89,GHA,22.0,21.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
Exequiel Palacios,89,ARG,94.0,89.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
Marcos Senesi,89,ARG,79.0,75.0,95.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DF
Ala Alhajji,112,KSA,17.0,16.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
Karim Boudiaf,112,QAT,69.0,65.0,94.0,0.0,0.0,0.0,4.0,50.0,0.0,0.0,MF
Alvaro Fidalgo,112,MEX,77.0,72.0,94.0,3.0,0.0,0.0,3.0,0.0,2.0,100.0,MF
Ibrahima Konate,112,FRA,34.0,32.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
Ibrahim Mbaye,112,SEN,67.0,63.0,94.0,8.0,13.0,4.0,9.0,44.0,0.0,0.0,FW
Scott Mckenna,112,SCO,52.0,49.0,94.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,DF
Park Jinseob,112,KOR,52.0,49.0,94.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DF
Jean Michael Seri,112,CIV,17.0,16.0,94.0,3.0,0.0,0.0,2.0,50.0,0.0,0.0,MF
Issa Laye,112,QAT,90.0,85.0,94.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,DF
Morten Thorsby,112,NOR,18.0,17.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
Ismail Yuksek,112,TUR,111.0,104.0,94.0,1.0,0.0,3.0,2.0,50.0,2.0,100.0,MF
Warren Zaire Emery,112,FRA,70.0,66.0,94.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,MF
Ruben Neves,143,POR,29.0,27.0,93.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,MF
Meschack Elia,143,COD,14.0,13.0,93.0,2.0,0.0,0.0,5.0,60.0,0.0,0.0,FW
Raphinha,96,BRA,44.0,30.0,68.0,10.0,30.0,2.0,4.0,25.0,0.0,0.0,FW
Guillermo Varela,96,URU,134.0,119.0,89.0,10.0,30.0,1.0,8.0,75.0,1.0,100.0,DF
Nico Williams,108,ESP,50.0,45.0,90.0,9.0,22.0,4.0,6.0,83.0,0.0,0.0,FW
Abbosbek Fayzullaev,108,UZB,36.0,24.0,67.0,9.0,22.0,1.0,2.0,50.0,1.0,100.0,MF
Sead Kolasinac,108,BIH,173.0,141.0,82.0,9.0,11.0,1.0,5.0,20.0,0.0,0.0,DF
Jacob Italiano,108,AUS,43.0,33.0,77.0,9.0,33.0,4.0,2.0,50.0,2.0,100.0,DF
Tim Payne,108,NZL,87.0,72.0,83.0,9.0,11.0,1.0,3.0,0.0,0.0,0.0,DF
Chemsdine Talbi,108,MAR,54.0,47.0,87.0,9.0,11.0,1.0,3.0,33.0,0.0,0.0,MF
El Hadji Malick Diouf,108,SEN,89.0,74.0,83.0,9.0,33.0,0.0,7.0,71.0,0.0,0.0,DF
Jordan Ayew,108,GHA,47.0,33.0,70.0,9.0,11.0,1.0,3.0,0.0,1.0,0.0,FW
Agustin Canobbio,108,URU,68.0,61.0,90.0,9.0,33.0,2.0,5.0,60.0,0.0,0.0,MF
Nico Gonzalez,108,ARG,109.0,90.0,83.0,9.0,44.0,5.0,8.0,63.0,0.0,0.0,MF
Lee Taeseok,108,KOR,45.0,39.0,87.0,9.0,33.0,1.0,4.0,75.0,1.0,100.0,DF
Thomas Meunier,135,BEL,116.0,98.0,84.0,8.0,38.0,1.0,8.0,38.0,2.0,50.0,DF
Donyell Malen,135,NED,34.0,27.0,79.0,8.0,25.0,5.0,5.0,60.0,0.0,0.0,FW
Crysencio Summerville,135,NED,67.0,56.0,84.0,8.0,13.0,5.0,6.0,83.0,0.0,0.0,FW
Connor Metcalfe,135,AUS,80.0,65.0,81.0,8.0,13.0,3.0,7.0,71.0,1.0,0.0,MF
Mikel Oyarzabal,135,ESP,149.0,124.0,83.0,8.0,13.0,2.0,4.0,25.0,2.0,50.0,FW
Esmir Bajraktarevic,135,BIH,71.0,58.0,82.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,FW
Amir Alammari,108,IRQ,125.0,99.0,79.0,7.0,43.0,1.0,7.0,57.0,0.0,0.0,MF
Musab Aljuwayr,108,KSA,79.0,64.0,81.0,7.0,43.0,1.0,7.0,43.0,0.0,0.0,MF
Marcus Holmgren Pedersen,108,NOR,107.0,87.0,81.0,7.0,43.0,0.0,4.0,0.0,0.0,0.0,DF
Kieran Tierney,108,SCO,48.0,36.0,75.0,7.0,43.0,0.0,1.0,100.0,2.0,50.0,DF
Rafik Belghali,117,ALG,183.0,168.0,92.0,5.0,40.0,3.0,3.0,67.0,0.0,0.0,DF
Francisco Conceicao,117,POR,73.0,65.0,89.0,5.0,40.0,4.0,7.0,86.0,0.0,0.0,FW
Ajdin Hrustic,117,AUS,31.0,27.0,87.0,5.0,40.0,1.0,0.0,0.0,0.0,0.0,FW
Soufiane Rahimi,117,MAR,37.0,27.0,73.0,5.0,40.0,2.0,5.0,40.0,0.0,0.0,FW
Jesse Randall,117,NZL,16.0,12.0,75.0,5.0,40.0,2.0,1.0,0.0,0.0,0.0,FW
Homam Ahmed,147,QAT,33.0,25.0,76.0,3.0,33.0,1.0,2.0,50.0,0.0,0.0,DF
Joao Felix,85,POR,60.0,47.0,78.0,4.0,0.0,5.0,9.0,33.0,0.0,0.0,FW
Ryan Gravenberch,85,NED,126.0,111.0,88.0,5.0,20.0,5.0,3.0,67.0,0.0,0.0,MF
Felix Nmecha,85,GER,131.0,120.0,92.0,2.0,0.0,5.0,4.0,75.0,1.0,0.0,MF
Folarin Balogun,116,USA,44.0,30.0,68.0,6.0,0.0,4.0,6.0,67.0,0.0,0.0,FW
Rodrigo Bentancur,116,URU,174.0,157.0,90.0,3.0,0.0,4.0,2.0,50.0,0.0,0.0,MF
Son Heungmin,116,KOR,58.0,49.0,84.0,3.0,33.0,4.0,2.0,50.0,0.0,0.0,FW
Akam Hashim,116,IRQ,148.0,126.0,85.0,0.0,0.0,4.0,3.0,33.0,1.0,100.0,DF
Ayase Ueda,116,JPN,35.0,26.0,74.0,1.0,0.0,4.0,4.0,50.0,0.0,0.0,FW
Deveron Fonville,116,CUW,66.0,55.0,83.0,0.0,0.0,4.0,3.0,33.0,0.0,0.0,DF
Ismael Saibari,116,MAR,95.0,80.0,84.0,7.0,29.0,4.0,8.0,75.0,1.0,100.0,MF
Tani Oluwaseyi,116,CAN,41.0,27.0,66.0,4.0,0.0,4.0,4.0,50.0,1.0,100.0,FW
Trezeguet,116,EGY,81.0,68.0,84.0,3.0,0.0,4.0,5.0,40.0,1.0,100.0,FW
Ruben Providence,116,HAI,48.0,42.0,88.0,7.0,29.0,4.0,3.0,67.0,0.0,0.0,FW
Andreas Schjelderup,116,NOR,104.0,89.0,86.0,7.0,14.0,4.0,9.0,56.0,2.0,50.0,MF
Matias Fernandez Pardo,116,BEL,15.0,13.0,87.0,3.0,0.0,4.0,3.0,67.0,0.0,0.0,FW
Elijah Just,116,NZL,99.0,85.0,86.0,1.0,0.0,4.0,5.0,20.0,2.0,50.0,MF
Can Uzun,116,TUR,24.0,22.0,92.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,FW
Ferdi Kadioglu,112,TUR,175.0,161.0,92.0,4.0,0.0,1.0,9.0,78.0,1.0,0.0,DF
Giovanni Reyna,112,USA,94.0,79.0,84.0,1.0,0.0,1.0,9.0,78.0,1.0,100.0,MF
Ehsan Haddad,112,JOR,73.0,54.0,74.0,7.0,29.0,1.0,9.0,78.0,0.0,0.0,DF
Kim Seunggyu,112,KOR,116.0,85.0,73.0,0.0,0.0,0.0,9.0,11.0,2.0,50.0,GK
Finn Surman,1,NZL,145.0,135.0,93.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,DF
Ivan Toney,1,ENG,21.0,15.0,71.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,FW
Mehdi Torabi,1,IRN,20.0,17.0,85.0,2.0,0.0,0.0,1.0,100.0,0.0,0.0,MF
Jakhongir Urozov,1,UZB,45.0,31.0,69.0,0.0,0.0,0.0,1.0,100.0,2.0,100.0,DF
Ollie Watkins,1,ENG,10.0,9.0,90.0,3.0,33.0,3.0,2.0,100.0,0.0,0.0,FW
Patrick Wimmer,1,AUT,13.0,7.0,54.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,FW
Ermedin Demirovic,128,BIH,39.0,29.0,74.0,0.0,0.0,1.0,5.0,80.0,0.0,0.0,FW
Ritsu Doan,128,JPN,105.0,89.0,85.0,5.0,0.0,1.0,5.0,80.0,0.0,0.0,MF
Florian Grillitsch,128,AUT,60.0,55.0,92.0,1.0,0.0,0.0,5.0,80.0,0.0,0.0,MF
Marcos Llorente,128,ESP,152.0,142.0,93.0,6.0,33.0,1.0,5.0,80.0,0.0,0.0,DF
Gilberto Mora,128,MEX,87.0,79.0,91.0,5.0,20.0,2.0,5.0,80.0,1.0,100.0,MF
Gustavo Velazquez,82,PAR,80.0,57.0,71.0,4.0,0.0,0.0,6.0,17.0,3.0,100.0,DF
Tarik Muharemovic,82,BIH,153.0,132.0,86.0,0.0,0.0,1.0,3.0,67.0,3.0,100.0,DF
Kevin Pina,82,CPV,156.0,134.0,86.0,1.0,0.0,3.0,1.0,0.0,3.0,67.0,MF
Danley Jean Jacques,82,HAI,116.0,102.0,88.0,2.0,0.0,1.0,1.0,0.0,3.0,100.0,MF
Kalidou Koulibaly,82,SEN,83.0,73.0,88.0,0.0,0.0,0.0,1.0,0.0,3.0,100.0,DF
Gessime Yassine,82,MAR,39.0,34.0,87.0,1.0,0.0,2.0,2.0,50.0,3.0,67.0,MF
Martin Experience,82,HAI,111.0,93.0,84.0,6.0,0.0,1.0,6.0,33.0,3.0,100.0,DF
Chancel Mbemba,82,COD,162.0,130.0,80.0,4.0,0.0,2.0,7.0,43.0,3.0,100.0,DF
Rebin Sulaka,82,IRQ,29.0,23.0,79.0,0.0,0.0,0.0,0.0,0.0,3.0,33.0,DF
Mohamed Kanno,82,KSA,104.0,97.0,93.0,1.0,0.0,1.0,6.0,67.0,3.0,100.0,MF
Boualem Khoukhi,82,QAT,117.0,94.0,80.0,1.0,0.0,0.0,8.0,25.0,3.0,100.0,DF
Takehiro Tomiyasu,138,JPN,127.0,109.0,86.0,1.0,0.0,1.0,6.0,33.0,2.0,0.0,DF
Yukinari Sugawara,138,JPN,73.0,52.0,71.0,5.0,20.0,1.0,4.0,25.0,2.0,50.0,DF
Shoja Khalilzadeh,138,IRN,141.0,118.0,84.0,0.0,0.0,0.0,1.0,0.0,2.0,100.0,DF
Axel Tuanzebe,138,COD,155.0,140.0,90.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,DF
Ali Nemati,138,IRN,129.0,114.0,88.0,3.0,33.0,0.0,3.0,0.0,2.0,100.0,DF
Charles Pickel,138,COD,22.0,19.0,86.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,MF
Samir El Mourabet,1,MAR,110.0,100.0,91.0,1.0,0.0,1.0,4.0,50.0,1.0,100.0,MF
Odeh Fakhoury,1,JOR,21.0,17.0,81.0,1.0,0.0,1.0,0.0,0.0,1.0,100.0,FW
Sherel Floranus,1,CUW,112.0,95.0,85.0,0.0,0.0,1.0,3.0,33.0,1.0,100.0,DF
Azizjon Ganiev,1,UZB,59.0,48.0,81.0,6.0,0.0,1.0,3.0,0.0,1.0,100.0,MF
Eric Garcia,1,ESP,11.0,10.0,91.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,DF
Diego Gomez,1,PAR,101.0,80.0,79.0,2.0,0.0,2.0,4.0,25.0,2.0,100.0,MF
Gabriel Gudmundsson,1,SWE,147.0,112.0,76.0,5.0,20.0,1.0,7.0,14.0,2.0,100.0,DF
Angus Gunn,1,SCO,119.0,90.0,76.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,GK
Malo Gusto,1,FRA,76.0,69.0,91.0,3.0,33.0,0.0,0.0,0.0,1.0,100.0,DF
Brian Gutierrez,1,MEX,60.0,53.0,88.0,6.0,0.0,1.0,2.0,50.0,1.0,100.0,MF
Ehsan Hajisafi,1,IRN,20.0,11.0,55.0,2.0,0.0,1.0,2.0,0.0,1.0,100.0,DF
Zaid Tahseen,1,IRQ,64.0,53.0,83.0,0.0,0.0,0.0,3.0,0.0,1.0,100.0,DF
Theo Hernandez,1,FRA,149.0,139.0,93.0,5.0,20.0,1.0,3.0,33.0,1.0,100.0,DF
Amirhossein Hosseinzadeh,1,IRN,14.0,10.0,71.0,0.0,0.0,0.0,3.0,67.0,1.0,100.0,FW
Lucas Paqueta,154,BRA,190.0,162.0,85.0,5.0,0.0,2.0,8.0,63.0,1.0,100.0,MF
Khuliso Mudau,161,RSA,187.0,168.0,90.0,5.0,20.0,3.0,5.0,20.0,0.0,0.0,DF
David Moller Wolfe,163,NOR,186.0,162.0,87.0,7.0,14.0,3.0,7.0,43.0,0.0,0.0,DF
Gideon Mensah,170,GHA,182.0,156.0,86.0,3.0,0.0,1.0,6.0,33.0,2.0,100.0,DF
Cesar Montes,184,MEX,170.0,156.0,92.0,2.0,0.0,0.0,5.0,40.0,2.0,100.0,DF
Derek Cornelius,184,CAN,170.0,151.0,89.0,1.0,0.0,0.0,2.0,50.0,1.0,0.0,DF
Vozinha,189,CPV,166.0,117.0,70.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,GK
Nikola Katic,192,BIH,165.0,148.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DF
Arthur Theate,194,BEL,164.0,153.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
Hans Vanaken,194,BEL,164.0,153.0,93.0,3.0,0.0,1.0,2.0,50.0,2.0,100.0,MF
Ao Tanaka,189,JPN,160.0,145.0,91.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,MF
Emmanuel Agbadou,193,CIV,154.0,142.0,92.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DF
Bernardo Silva,143,POR,59.0,55.0,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MF
Miles Robinson,143,USA,58.0,54.0,93.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,DF
Alidu Seidu,143,GHA,27.0,25.0,93.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,DF
Saed Alrosan,170,JOR,13.0,12.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
Ali Azaizeh,170,JOR,13.0,12.0,92.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,FW
Nelson Semedo,170,POR,91.0,84.0,92.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,DF
Jordan Henderson,170,ENG,13.0,12.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
Angelo Preciado,135,ECU,47.0,32.0,68.0,8.0,13.0,1.0,5.0,20.0,1.0,100.0,DF
Marvin Senaya,135,GHA,91.0,75.0,82.0,8.0,25.0,1.0,4.0,75.0,1.0,100.0,DF
Yan Valery,159,TUN,80.0,54.0,68.0,7.0,29.0,3.0,8.0,13.0,1.0,100.0,DF
Konrad Laimer,159,AUT,150.0,130.0,87.0,7.0,14.0,3.0,8.0,63.0,0.0,0.0,MF
Mahmoud Almardi,159,JOR,39.0,32.0,82.0,7.0,14.0,3.0,5.0,60.0,0.0,0.0,FW
Aaron Wan Bissaka,159,COD,137.0,109.0,80.0,7.0,29.0,2.0,5.0,60.0,0.0,0.0,DF
Neymar Jr,159,BRA,26.0,21.0,81.0,7.0,14.0,1.0,2.0,0.0,0.0,0.0,FW
Sarpreet Singh,159,NZL,76.0,58.0,76.0,7.0,0.0,3.0,6.0,17.0,2.0,100.0,MF
Michel Aebischer,189,SUI,76.0,66.0,87.0,6.0,0.0,2.0,3.0,33.0,0.0,0.0,MF
Elliot Stroud,189,SWE,49.0,38.0,78.0,6.0,33.0,3.0,6.0,50.0,0.0,0.0,DF
Orkun Kokcu,189,TUR,85.0,60.0,71.0,6.0,0.0,2.0,4.0,25.0,0.0,0.0,MF
Liberato Cacace,189,NZL,88.0,75.0,85.0,6.0,17.0,2.0,4.0,25.0,0.0,0.0,DF
Benjamin Nygren,189,SWE,50.0,46.0,92.0,6.0,33.0,2.0,4.0,50.0,0.0,0.0,MF
Ange Yoan Bonny,147,CIV,30.0,26.0,87.0,3.0,33.0,1.0,0.0,0.0,0.0,0.0,FW
Wagner Pina,147,CPV,38.0,30.0,79.0,3.0,33.0,1.0,2.0,0.0,0.0,0.0,DF
Eric Davis,147,PAN,7.0,3.0,43.0,3.0,33.0,0.0,2.0,0.0,0.0,0.0,DF
Jamiro Monteiro,147,CPV,106.0,87.0,82.0,6.0,33.0,0.0,3.0,33.0,0.0,0.0,MF
Tyrese Noslin,147,CUW,9.0,5.0,56.0,3.0,33.0,0.0,1.0,0.0,0.0,0.0,FW
Dailon Livramento,147,CPV,19.0,15.0,79.0,3.0,33.0,1.0,0.0,0.0,0.0,0.0,FW
Zizo,147,EGY,27.0,23.0,85.0,6.0,33.0,1.0,1.0,0.0,0.0,0.0,FW
Luis Suarez,147,COL,53.0,39.0,74.0,3.0,33.0,2.0,2.0,50.0,0.0,0.0,FW
Gabriel Martinelli,147,BRA,65.0,59.0,91.0,3.0,33.0,1.0,3.0,67.0,0.0,0.0,FW
Alexander Isak,151,SWE,81.0,65.0,80.0,4.0,0.0,3.0,5.0,60.0,2.0,50.0,FW
Zeki Amdouni,151,SUI,11.0,8.0,73.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,FW
Khojiakbar Alijonov,151,UZB,41.0,27.0,66.0,4.0,0.0,3.0,2.0,0.0,1.0,0.0,DF
Jiovany Ramos,151,PAN,121.0,108.0,89.0,0.0,0.0,3.0,2.0,0.0,2.0,50.0,DF
Mehdi Taremi,151,IRN,71.0,58.0,82.0,2.0,0.0,3.0,4.0,25.0,0.0,0.0,FW
Paul Wanner,151,AUT,80.0,68.0,85.0,1.0,0.0,3.0,4.0,75.0,1.0,100.0,MF
Raul Jimenez,148,MEX,66.0,48.0,73.0,1.0,0.0,1.0,8.0,63.0,0.0,0.0,FW
Breel Embolo,148,SUI,72.0,56.0,78.0,1.0,0.0,2.0,8.0,63.0,0.0,0.0,FW
Chris Wood,148,NZL,47.0,36.0,77.0,0.0,0.0,2.0,8.0,13.0,0.0,0.0,FW
Mahmoud Abunada,148,QAT,93.0,50.0,54.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,GK
Niko Sigur,148,CAN,64.0,52.0,81.0,4.0,25.0,0.0,8.0,63.0,1.0,100.0,DF
Mikel Merino,149,ESP,101.0,89.0,88.0,1.0,0.0,2.0,4.0,75.0,2.0,100.0,MF
Nathan Saliba,149,CAN,93.0,79.0,85.0,4.0,25.0,1.0,4.0,75.0,1.0,100.0,MF
Saud Abdulhamid,194,KSA,113.0,88.0,78.0,4.0,25.0,2.0,3.0,67.0,1.0,0.0,DF
Oguz Aydin,194,TUR,46.0,39.0,85.0,3.0,0.0,0.0,3.0,67.0,0.0,0.0,FW
Omar Alderete,138,PAR,97.0,70.0,72.0,0.0,0.0,1.0,3.0,33.0,2.0,50.0,DF
Orlando Mosquera,138,PAN,103.0,74.0,72.0,0.0,0.0,0.0,2.0,0.0,2.0,100.0,GK
Tyler Bindon,138,NZL,68.0,49.0,72.0,0.0,0.0,1.0,6.0,33.0,2.0,50.0,DF
Salih Ozcan,138,TUR,61.0,52.0,85.0,1.0,0.0,0.0,3.0,33.0,2.0,100.0,MF
Abdukodir Khusanov,1,UZB,98.0,81.0,83.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,DF
Sondre Langas,1,NOR,10.0,9.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,DF
Philipp Lienhart,1,AUT,140.0,128.0,91.0,0.0,0.0,0.0,3.0,67.0,1.0,100.0,DF
Derrick Luckassen,1,GHA,125.0,109.0,87.0,0.0,0.0,0.0,3.0,0.0,1.0,100.0,DF
Moise Bombito,1,CAN,111.0,96.0,86.0,0.0,0.0,0.0,4.0,50.0,1.0,100.0,DF
Shuto Machino,1,JPN,4.0,3.0,75.0,1.0,0.0,1.0,0.0,0.0,1.0,100.0,FW
Ermin Mahmic,1,BIH,16.0,12.0,75.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,MF
Thalente Mbatha,1,RSA,97.0,82.0,85.0,4.0,0.0,0.0,4.0,50.0,1.0,100.0,MF
Yaimar Medina,1,ECU,19.0,17.0,89.0,4.0,25.0,0.0,1.0,0.0,1.0,100.0,DF
Edouard Mendy,1,SEN,60.0,49.0,82.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,GK
Raul Rangel,208,MEX,155.0,120.0,77.0,0.0,0.0,0.0,4.0,0.0,1.0,100.0,GK
Nikola Vasilj,208,BIH,155.0,94.0,61.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,GK
Thomas Partey,218,GHA,152.0,134.0,88.0,0.0,0.0,1.0,4.0,50.0,0.0,0.0,MF
Paik Seungho,218,KOR,152.0,135.0,89.0,1.0,0.0,0.0,7.0,43.0,1.0,100.0,MF
Mostafa Shoubir,231,EGY,147.0,114.0,78.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,GK
Lionel Mpasi,244,COD,139.0,94.0,68.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,GK
Jorge Sanchez,238,MEX,131.0,121.0,92.0,5.0,20.0,0.0,1.0,0.0,0.0,0.0,DF
Manuel Ugarte,246,URU,136.0,118.0,87.0,0.0,0.0,0.0,4.0,50.0,1.0,0.0,MF
Manuel Neuer,246,GER,129.0,118.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,GK
Guillermo Martinez,170,MEX,13.0,12.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,FW
Mark Mckenzie,170,USA,51.0,47.0,92.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DF
Carl Starfelt,170,SWE,12.0,11.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
Martin Zubimendi,170,ESP,24.0,22.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
Nathan Ake,224,NED,123.0,112.0,91.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,DF
